ord	mouza	village	VILLAGE	di	long	lat	Best.Longitude	Best.Latitude	BAMvill[, 12]
267	87769	8776906	Bhoa Para	63	90,61367975	23,82636285	90,61367975	23,82636285	Mouza loc
268	87769	8776908	Dighirpar	22	90,61367975	23,82636285	90,61367975	23,82336285	Mouza loc
269	87769	8776909	Gazaria Khan Para	49	90,61367975	23,82636285	90,61367975	23,82036285	Mouza loc
270	87769	8776910	Paschimpara	214	90,61367975	23,82636285	90,61367975	23,80536285	Mouza loc
271	87769	8776911	Singharati	3	90,61367975	23,82636285	90,61367975	23,80236285	Mouza loc
272	87812	8781201	Rasulpur	390	90,65034634	23,8479919	90,65034634	23,8419919	Mouza loc
273	87812	8781202	Bahadurpur	148	90,65034634	23,8479919	90,65034634	23,8479919	Mouza loc
274	87812	8781203	Bilpar	36	90,65034634	23,8479919	90,65034634	23,8449919	Mouza loc
275	87855	8785501	Sakhargaon	69	90,63703143	23,86142072	90,63703143	23,84642072	Mouza loc
276	87855	8785502	Satgram	42	90,63703143	23,86142072	90,63703143	23,84342072	Mouza loc
277	87855	8785503	Pakutura	28	90,63703143	23,86142072	90,63703143	23,84942072	Mouza loc
278	87855	8785504	Nowadda	35	90,63703143	23,86142072	90,63703143	23,85242072	Mouza loc
